target,chem_alias,dtxsid,ligand_id,deltaG,log10Kd_app,log10Kd_exp,offset_residual,Kd_exp_M,method
TTR,pfoa,DTXSID8031865,340_DTXSID8031865,-6.844,-4.825415903608707,-6.222620993867741,-1.3972050902590336,5.989340531310603e-07,ttr_ic50
TTR,pfos,DTXSID3031864,146_DTXSID3031864,-7.009,-4.941750448333347,-6.456464397046733,-1.5147139487133856,3.4957116585897046e-07,ttr_ic50
TTR,pfhxs,DTXSID7040150,387_DTXSID7040150,-5.628,-3.968065561880451,-6.185347199675503,-2.217281637795052,6.526086116501993e-07,ttr_ic50
TTR,pfna,DTXSID8031863,336_DTXSID8031863,-7.102,-5.007320828087235,-5.633359266638102,-0.626038438550867,2.3261661591554462e-06,ttr_ic50
TTR,pfda,DTXSID3031860,150_DTXSID3031860,-5.748,-4.05267250349837,-5.41883219506317,-1.3661596915647998,3.8121309001659483e-06,ttr_ic50
TTR,pfbs,DTXSID5030030,430_DTXSID5030030,-5.405,-3.8108376620404827,-4.875169850586141,-1.064332188545658,1.3330000000000006e-05,ttr_ic50
TTR,pfhpa,DTXSID1037303,256_DTXSID1037303,-6.494,-4.578645657223107,-5.876588279235104,-1.2979426220119974,1.3286534536891112e-06,ttr_ic50
TTR,pfosa,DTXSID3038939,374_DTXSID3038939,-6.776,-4.7774719700252195,-5.212964817973776,-0.4354928479485567,6.124000000000002e-06,ttr_ic50
HSA,pfoa,DTXSID8031865,340_DTXSID8031865,-12.82,-9.038841596181125,-4.914869142302521,4.123972453878604,1.2165525060596433e-05,hsa_strong
HSA,pfos,DTXSID3031864,146_DTXSID3031864,-19.99,-14.094106357851848,-4.346787486224656,9.747318871627192,4.5000000000000016e-05,hsa_strong
