site_id,target,axis,ligand_id,ligand_pdbqt,out_pdbqt,log_file,affinity_kcal_mol,elapsed_s,ok,stderr,Kd_app_M,log10Kd_app,pKd_app,target_offset_log10,log10Kd_calib,Kd_calib_M,pKd_calib,log10Kd_calib_dsf,Kd_calib_M_dsf
GPR40_site1,GPR40,generic,001_DTXSID70366226,/home/jida/下载/wyx/From_binding_scores_to_physiological_burden_20260211/data_processed/ligands_3d/pdbqt/anionic/001_DTXSID70366226.pdbqt,/home/jida/下载/wyx/From_binding_scores_to_physiological_burden_20260211/data_processed/docking_scores/anionic/GPR40_site1/001_DTXSID70366226.pdbqt,/home/jida/下载/wyx/From_binding_scores_to_physiological_burden_20260211/data_processed/docking_scores/anionic/GPR40_site1/001_DTXSID70366226.log,-8.501,9.707,1,,1.014619592137003e-06,-5.993696755782819,5.993696755782819,0.0,-5.993696755782819,1.0146195921370045e-06,5.993696755782819,-5.993696755782819,1.0146195921370045e-06
GPR40_site1,GPR40,generic,002_DTXSID80880448,/home/jida/下载/wyx/From_binding_scores_to_physiological_burden_20260211/data_processed/ligands_3d/pdbqt/anionic/002_DTXSID80880448.pdbqt,/home/jida/下载/wyx/From_binding_scores_to_physiological_burden_20260211/data_processed/docking_scores/anionic/GPR40_site1/002_DTXSID80880448.pdbqt,/home/jida/下载/wyx/From_binding_scores_to_physiological_burden_20260211/data_processed/docking_scores/anionic/GPR40_site1/002_DTXSID80880448.log,-10.77,14.499,1,,2.5499225511066518e-08,-7.593473010208324,7.593473010208324,0.0,-7.593473010208324,2.5499225511066538e-08,7.593473010208324,-7.593473010208324,2.5499225511066538e-08
GPR40_site1,GPR40,generic,003_DTXSID60654260,/home/jida/下载/wyx/From_binding_scores_to_physiological_burden_20260211/data_processed/ligands_3d/pdbqt/anionic/003_DTXSID60654260.pdbqt,/home/jida/下载/wyx/From_binding_scores_to_physiological_burden_20260211/data_processed/docking_scores/anionic/GPR40_site1/003_DTXSID60654260.pdbqt,/home/jida/下载/wyx/From_binding_scores_to_physiological_burden_20260211/data_processed/docking_scores/anionic/GPR40_site1/003_DTXSID60654260.log,-8.644,8.735,1,,8.04414651397411e-07,-6.0945200278775085,6.0945200278775085,0.0,-6.0945200278775085,8.044146513974106e-07,6.0945200278775085,-6.0945200278775085,8.044146513974106e-07
GPR40_site1,GPR40,generic,004_DTXSID1068772,/home/jida/下载/wyx/From_binding_scores_to_physiological_burden_20260211/data_processed/ligands_3d/pdbqt/anionic/004_DTXSID1068772.pdbqt,/home/jida/下载/wyx/From_binding_scores_to_physiological_burden_20260211/data_processed/docking_scores/anionic/GPR40_site1/004_DTXSID1068772.pdbqt,/home/jida/下载/wyx/From_binding_scores_to_physiological_burden_20260211/data_processed/docking_scores/anionic/GPR40_site1/004_DTXSID1068772.log,-10.83,16.877,1,,2.3132550502476446e-08,-7.635776481017285,7.635776481017285,0.0,-7.635776481017285,2.3132550502476466e-08,7.635776481017285,-7.635776481017285,2.3132550502476466e-08
GPR40_site1,GPR40,generic,005_DTXSID40190398,/home/jida/下载/wyx/From_binding_scores_to_physiological_burden_20260211/data_processed/ligands_3d/pdbqt/anionic/005_DTXSID40190398.pdbqt,/home/jida/下载/wyx/From_binding_scores_to_physiological_burden_20260211/data_processed/docking_scores/anionic/GPR40_site1/005_DTXSID40190398.pdbqt,/home/jida/下载/wyx/From_binding_scores_to_physiological_burden_20260211/data_processed/docking_scores/anionic/GPR40_site1/005_DTXSID40190398.log,-12.85,34.133,1,,8.709769633489535e-10,-9.059993331585606,9.059993331585606,0.0,-9.059993331585606,8.709769633489553e-10,9.059993331585606,-9.059993331585606,8.709769633489553e-10
GPR40_site1,GPR40,generic,006_DTXSID60190951,/home/jida/下载/wyx/From_binding_scores_to_physiological_burden_20260211/data_processed/ligands_3d/pdbqt/anionic/006_DTXSID60190951.pdbqt,/home/jida/下载/wyx/From_binding_scores_to_physiological_burden_20260211/data_processed/docking_scores/anionic/GPR40_site1/006_DTXSID60190951.pdbqt,/home/jida/下载/wyx/From_binding_scores_to_physiological_burden_20260211/data_processed/docking_scores/anionic/GPR40_site1/006_DTXSID60190951.log,-11.07,36.864,1,,1.5667858321989278e-08,-7.804990364253126,7.804990364253126,0.0,-7.804990364253126,1.5667858321989268e-08,7.804990364253126,-7.804990364253126,1.5667858321989268e-08
GPR40_site1,GPR40,generic,007_DTXSID70276659,/home/jida/下载/wyx/From_binding_scores_to_physiological_burden_20260211/data_processed/ligands_3d/pdbqt/anionic/007_DTXSID70276659.pdbqt,/home/jida/下载/wyx/From_binding_scores_to_physiological_burden_20260211/data_processed/docking_scores/anionic/GPR40_site1/007_DTXSID70276659.pdbqt,/home/jida/下载/wyx/From_binding_scores_to_physiological_burden_20260211/data_processed/docking_scores/anionic/GPR40_site1/007_DTXSID70276659.log,-7.408,135.15,1,,5.983171765447061e-06,-5.223068529212932,5.223068529212932,0.0,-5.223068529212932,5.983171765447064e-06,5.223068529212932,-5.223068529212932,5.983171765447064e-06
GPR40_site1,GPR40,generic,008_DTXSID20188995,/home/jida/下载/wyx/From_binding_scores_to_physiological_burden_20260211/data_processed/ligands_3d/pdbqt/anionic/008_DTXSID20188995.pdbqt,/home/jida/下载/wyx/From_binding_scores_to_physiological_burden_20260211/data_processed/docking_scores/anionic/GPR40_site1/008_DTXSID20188995.pdbqt,/home/jida/下载/wyx/From_binding_scores_to_physiological_burden_20260211/data_processed/docking_scores/anionic/GPR40_site1/008_DTXSID20188995.log,-10.12,9.871,1,,7.325117411505244e-08,-7.135185409777924,7.135185409777924,0.0,-7.135185409777924,7.32511741150524e-08,7.135185409777924,-7.135185409777924,7.32511741150524e-08
GPR40_site1,GPR40,generic,009_DTXSID50382141,/home/jida/下载/wyx/From_binding_scores_to_physiological_burden_20260211/data_processed/ligands_3d/pdbqt/anionic/009_DTXSID50382141.pdbqt,/home/jida/下载/wyx/From_binding_scores_to_physiological_burden_20260211/data_processed/docking_scores/anionic/GPR40_site1/009_DTXSID50382141.pdbqt,/home/jida/下载/wyx/From_binding_scores_to_physiological_burden_20260211/data_processed/docking_scores/anionic/GPR40_site1/009_DTXSID50382141.log,-6.885,5.192,1,,1.3985459008737722e-05,-4.854323275328163,4.854323275328163,0.0,-4.854323275328163,1.3985459008737726e-05,4.854323275328163,-4.854323275328163,1.3985459008737726e-05
GPR40_site1,GPR40,generic,010_DTXSID10382147,/home/jida/下载/wyx/From_binding_scores_to_physiological_burden_20260211/data_processed/ligands_3d/pdbqt/anionic/010_DTXSID10382147.pdbqt,/home/jida/下载/wyx/From_binding_scores_to_physiological_burden_20260211/data_processed/docking_scores/anionic/GPR40_site1/010_DTXSID10382147.pdbqt,/home/jida/下载/wyx/From_binding_scores_to_physiological_burden_20260211/data_processed/docking_scores/anionic/GPR40_site1/010_DTXSID10382147.log,-8.348,18.391,1,,1.3006998638353188e-06,-5.885822905219973,5.885822905219973,0.0,-5.885822905219973,1.300699863835318e-06,5.885822905219973,-5.885822905219973,1.300699863835318e-06
