ligand_id,GPR40_Kd_M,GPR40_pKd,GPR40_dG_kcal_mol,HSA_Kd_M_dsf,HSA_pKd_dsf,HSA_Kd_M,HSA_pKd,HSA_dG_kcal_mol,OAT1_Kd_M,OAT1_pKd,OAT1_dG_kcal_mol,OAT4_Kd_M,OAT4_pKd,OAT4_dG_kcal_mol,PPARG_Kd_M,PPARG_pKd,PPARG_dG_kcal_mol,TBG_Kd_M,TBG_pKd,TBG_dG_kcal_mol,TTR_Kd_M,TTR_pKd,TTR_dG_kcal_mol,URAT1_Kd_M,URAT1_pKd,URAT1_dG_kcal_mol
001_DTXSID70366226,1.0146195921370045e-06,5.993696755782819,-8.501,0.7125621590016158,0.1471772448156966,7.1121307225600106,-0.8519997304656342,-7.672,6.7250518294000256e-06,5.17230436424218,-7.336,3.7895028900659415e-05,4.421417757383138,-6.271,4.275476232255991e-06,5.369015503503844,-7.615,0.00015234100535514312,3.817183182661826,-5.414,1.2437001180425376e-05,4.9052843244518884,-5.068,3.228564662571326e-06,5.4909905110030115,-7.788
002_DTXSID80880448,2.5499225511066538e-08,7.593473010208324,-10.77,0.006310735401456829,2.199920028682181,0.06298787349798968,1.2007430534008505,-10.99,3.6366933719503e-07,6.439293314970532,-9.133,4.4117263760032625e-07,6.355391431199427,-9.014,1.9307859273261445e-07,6.714265875228772,-9.523,4.29635016146467e-06,5.3669003299633955,-7.612,1.5193777558821282e-06,5.818334236078609,-6.363,7.305205673688504e-09,8.136367552256644,-11.54
003_DTXSID60654260,8.044146513974106e-07,6.0945200278775085,-8.644,0.6348347643212293,0.19733929877371376,6.336328380676638,-0.801837676507617,-7.819,9.229579518781281e-06,5.034818084113059,-7.141,1.5770701268700166e-05,4.802148994663779,-6.811,8.145025750750332e-06,5.089107538317891,-7.218,7.045540895712449e-05,4.152085659899427,-5.889,9.315697524988273e-06,5.030784621185138,-5.246,4.402258470217305e-06,5.356324462261155,-7.597
004_DTXSID1068772,2.3132550502476466e-08,7.635776481017285,-10.83,0.00961511474285532,2.0170455287014697,0.0959691054313283,1.017868553420139,-10.48,4.7615273977973334e-07,6.3222537123990765,-8.967,4.4045699443718273e-07,6.356096489046244,-9.015,2.121424010267855e-07,6.673372520113444,-9.465,6.8908294868903135e-06,5.161728496539939,-7.321,8.001435605235227e-07,6.096832085570931,-6.758,6.432946839181927e-08,7.191590037523204,-10.2
005_DTXSID40190398,8.709769633489553e-10,9.059993331585606,-12.85,2.1277115037586297e-06,5.672087258341032,2.12368312903798e-05,4.672910283059701,-15.96,3.2883039967078983e-10,9.483028039675206,-13.45,4.868195224979112e-09,8.312632013960645,-11.79,1.7223878929661427e-09,8.763869035922886,-12.43,9.827206012994059e-08,7.007569939504228,-9.939,9.437016261037934e-09,8.025165296612691,-9.493,5.915274835967029e-09,8.228025072342726,-11.67
006_DTXSID60190951,1.5667858321989268e-08,7.804990364253126,-11.07,1.3013381118864961e-05,4.885609850979522,0.00012988743015702572,3.886432875698191,-14.77,3.973878796615962e-12,11.400785383014728,-16.17,1.8429579254371073e-08,7.734484579571525,-10.97,2.1501798006848975e-11,10.667525222326088,-15.13,5.492769545062742e-07,6.260208621879268,-8.879,1.8865417934012682e-07,6.724333569237171,-7.648,0.00011318561406665752,3.946208768629155,-5.597
007_DTXSID70276659,5.983171765447064e-06,5.223068529212932,-7.408,0.002702758907609259,2.5681926926530165,0.026976418014413455,1.5690157173716859,-11.84,3.738459399083639e-07,6.42730733157466,-9.116,2.045918050670696e-06,5.689111765958309,-8.069,2.5610271946702764e-07,6.591585809882788,-9.349,1.2564433346742518e-05,4.900857093218018,-6.951,1.7498700442499327e-06,5.7569942034056165,-6.276,4.924073525996619e-06,5.3076754708308505,-7.528
008_DTXSID20188995,7.32511741150524e-08,7.135185409777924,-10.12,0.007614069839466682,2.118383143970838,0.07599654197868473,1.1192061686895074,-11.17,3.793483409456772e-07,6.420961810953316,-9.107,2.816985618940375e-06,5.550215370135555,-7.872,2.1387142796734705e-07,6.669847230879365,-9.46,1.9256312289233142e-05,4.7154268795054115,-6.688,2.8340530607720643e-06,5.547592022901265,-5.979,7.064401016932288e-07,6.150924655622788,-8.724
009_DTXSID50382141,1.3985459008737726e-05,4.854323275328163,-6.885,3.295528610566457,-0.5179250863774052,32.89289219501207,-1.5171020616587358,-6.681,8.491726391359509e-05,4.071004007515587,-5.774,0.00016098625001824857,3.793211215870082,-5.38,6.087782584308088e-05,4.215540866112867,-5.979,0.00047003149902325104,3.327873036971522,-4.72,2.7420719548552664e-05,4.561921153052497,-4.581,1.7048798661795935e-05,4.768306218016611,-6.763
010_DTXSID10382147,1.300699863835318e-06,5.885822905219973,-8.348,0.7278662422218533,0.13794842233829524,7.264881804099014,-0.8612285529430355,-7.599,1.6185716560469254e-05,4.790868069114723,-6.795,3.4940518891501484e-05,4.456670649723939,-6.321,1.169823554093814e-05,4.931879638477923,-6.995,6.443712549295421e-05,4.1908638414743065,-5.944,1.262005350463415e-05,4.898938803830545,-5.059,3.0951235162953913e-06,5.509322015020228,-7.814
011_DTXSID60188999,1.4891034481633354e-07,6.827075130719333,-9.683,0.05532875286182333,1.2570491188936102,0.5522399949231815,0.2578721436122796,-9.981,1.8925416997076578e-06,5.722954542605477,-8.117,1.0595265231021874e-05,4.9748881671337,-7.056,3.2093510979392293e-07,6.493582769175365,-9.21,3.591826362549279e-05,4.444684666328067,-6.304,5.723978907856578e-06,5.242301975229937,-5.546,1.8084388893047428e-06,5.7426961623163235,-8.145
012_DTXSID0073118,2.5225553033141573e-06,5.5981593037190445,-7.94,0.956429920887909,0.019346845905017264,9.546191217694327,-0.9798301293763132,-7.648,2.5791911677699578e-05,4.588516467078531,-6.508,5.960646711374064e-05,4.224706618121474,-5.992,1.8133681360131755e-05,4.741514019837603,-6.725,0.00020805967891165703,3.6818120760731543,-5.222,1.6363283382967397e-05,4.786129548339985,-4.899,4.948114067123815e-06,5.305560297290404,-7.525
013_DTXSID4074932,2.2785052056707064e-07,6.64234997485354,-9.421,0.5044500049355743,0.2971818693805154,5.034949348313219,-0.7019951059008153,-7.902,2.153883016938253e-05,4.6667778880751065,-6.619,3.746682032935053e-05,4.426353162310851,-6.278,1.3212947215694428e-05,4.879000299966723,-6.92,0.00016902094266789885,3.772059480465602,-5.35,1.6958276978422002e-05,4.770618275710033,-4.877,1.7132035100739116e-05,4.766191044476163,-6.76
014_DTXSID00870523,4.75653110544775e-05,4.3227096588289,-6.131,10.960802578084733,-1.0398423554688003,109.40050601162305,-2.039019330750131,-6.005,0.0001975268203543663,3.7043739271712663,-5.254,0.00029163520971006653,3.5351600439354267,-5.014,0.000141149420201392,3.8503209014621786,-5.461,0.000817620343563177,3.087448311207266,-4.379,4.477198160824908e-05,4.348993683314065,-4.279,6.485693035843553e-05,4.1880436100870435,-5.94
015_DTXSID20371305,1.8660699098602892e-07,6.7290720900119085,-9.544,0.04326687901593162,1.363844430778709,0.43184962270469995,0.3646674554973782,-9.544,1.9677360659089706e-06,5.706033154281892,-8.093,1.639730193310469e-05,4.785227606340195,-6.787,2.895813665633119e-06,5.538229386739684,-7.855,2.6171526450577556e-05,4.582170946457187,-6.499,1.0590463035429682e-05,4.975085051286673,-5.167,6.19067044833557e-06,5.2082623144297955,-7.387
016_DTXSID60371783,5.613144746557221e-05,4.250793758453667,-6.029,16.359562347551734,-1.2137716812065977,163.2858895323331,-2.2129486564879284,-5.577,0.00025363254600271483,3.595795018761602,-5.1,0.00034696138732768166,3.4597188543261144,-4.907,0.00026977219116784923,3.5690028205825945,-5.062,0.0015728597580512498,2.803309998940418,-3.976,8.405600812914403e-05,4.075431238749456,-3.891,7.906302873665134e-05,4.102026552775491,-5.818
017_DTXSID30175730,1.7393318487564702e-06,5.759617550639907,-8.169,0.47667332768839005,0.3217791483914553,4.757708468868924,-0.6773978268898753,-7.813,1.0306847480851986e-05,4.986874150529572,-7.073,4.450235250272341e-05,4.351617030548355,-6.172,1.0492560590768505e-05,4.979118514214596,-7.062,8.009656842174533e-05,4.096386090000963,-5.81,1.453453790480779e-05,4.837598771157554,-4.972,6.170602487110777e-06,5.209672430123428,-7.389
018_DTXSID50441560,7.501748233952438e-07,6.124837515290595,-8.687,0.3363722393547943,0.4731798535177445,3.357353891881475,-0.5259971217635862,-8.164,9.753351650200772e-06,5.010846117321315,-7.107,2.1855846535791535e-05,4.6604323674537635,-6.61,7.293710612166443e-06,5.13705147190138,-7.286,9.390951097110105e-05,4.027290421012994,-5.712,6.78780095616234e-06,5.168270901314257,-5.441,2.0031915613913393e-06,5.6982775179669165,-8.082
