,LBXPFDE_M,LBXPFHS_M,LBXMPAH_M,LBXPFNA_M,LBXPFUA_M,LBXNFOA_M,LBXBFOA_M,LBXNFOS_M,LBXMFOS_M,PFOA_total_M,PFOS_total_M
LBXPFDE_M,1.0,0.3233169136006817,0.1744586078450419,0.6215424601884773,0.7915255951443508,0.5074122004726546,0.01972585318188586,0.6878805039560552,0.47917778050305415,0.5071241976397356,0.6486995106438461
LBXPFHS_M,0.3233169136006817,1.0,0.20814028525004918,0.46126044891859913,0.20349720899656354,0.6738405856032498,0.0009461073298170049,0.6641535729354462,0.7660518079800877,0.6729876651825349,0.7058944641826193
LBXMPAH_M,0.1744586078450419,0.20814028525004918,1.0,0.1479019154688654,0.12228740470688464,0.18812255216075627,0.06859956492063636,0.28741501234175965,0.3205717668868249,0.19037195075975286,0.30001769045086973
LBXPFNA_M,0.6215424601884773,0.46126044891859913,0.1479019154688654,1.0,0.5208323791923165,0.6088784461442069,-0.04504634423956979,0.6099161274871945,0.5727983417414756,0.6063679227203798,0.6161135735797741
LBXPFUA_M,0.7915255951443508,0.20349720899656354,0.12228740470688464,0.5208323791923165,1.0,0.33359091916499845,0.015820199650780065,0.5745409645630063,0.3557606892120221,0.3332197267242198,0.5310447403812166
LBXNFOA_M,0.5074122004726546,0.6738405856032498,0.18812255216075627,0.6088784461442069,0.33359091916499845,1.0,0.018162873332894302,0.5840338151307782,0.6654290371154857,0.9991075536694981,0.6211119327257133
LBXBFOA_M,0.01972585318188586,0.0009461073298170049,0.06859956492063636,-0.04504634423956979,0.015820199650780065,0.018162873332894302,1.0,-0.004709141793333757,0.010071344872664137,0.05047718271428416,-0.0001363065805731986
LBXNFOS_M,0.6878805039560552,0.6641535729354462,0.28741501234175965,0.6099161274871945,0.5745409645630063,0.5840338151307782,-0.004709141793333757,1.0,0.8643756728181863,0.5829497013870015,0.9890491150964893
LBXMFOS_M,0.47917778050305415,0.7660518079800877,0.3205717668868249,0.5727983417414756,0.3557606892120221,0.6654290371154857,0.010071344872664137,0.8643756728181863,1.0,0.6648626568715779,0.9246116944451133
PFOA_total_M,0.5071241976397356,0.6729876651825349,0.19037195075975286,0.6063679227203798,0.3332197267242198,0.9991075536694981,0.05047718271428416,0.5829497013870015,0.6648626568715779,1.0,0.7338142064299068
PFOS_total_M,0.6486995106438461,0.7058944641826193,0.30001769045086973,0.6161135735797741,0.5310447403812166,0.6211119327257133,-0.0001363065805731986,0.9890491150964893,0.9246116944451133,0.7338142064299068,1.0
