metric,stat,mc_mean,mc_median,mc_p05,mc_p95,n_mc,hsa_calib,thyroid_weights
TTII,weighted_mean,0.04295570900279345,0.0240166530958319,0.0015307228130678886,0.13149880890098953,200,strong,auto
TTII,p95,0.07390334458134155,0.04881052941597799,0.003315958293330268,0.24498572968932258,200,strong,auto
TTII,p99,0.10337676179097009,0.07043294365298913,0.006240851047546423,0.3516944766696105,200,strong,auto
RTII,weighted_mean,0.25169539085289694,0.23261922624061301,0.03914913685324274,0.5850371336886787,200,strong,auto
RTII,p95,0.3694021469588552,0.3698460325131089,0.08614472973333545,0.6712478606990161,200,strong,auto
RTII,p99,0.44238912530485963,0.47139493777220365,0.13522168500179488,0.737895675359079,200,strong,auto
RTII_equal,weighted_mean,0.22484599521887103,0.20183034205057426,0.0355230954922613,0.4578441620845812,200,strong,auto
RTII_equal,p95,0.33399479678109256,0.3298719052860553,0.08029638995130745,0.5914693214640563,200,strong,auto
RTII_equal,p99,0.40420472975814065,0.4027028257763906,0.13485459731934565,0.6654999182674688,200,strong,auto
RTII_weighted,weighted_mean,0.25169539085289694,0.23261922624061301,0.03914913685324274,0.5850371336886787,200,strong,auto
RTII_weighted,p95,0.3694021469588552,0.3698460325131089,0.08614472973333545,0.6712478606990161,200,strong,auto
RTII_weighted,p99,0.44238912530485963,0.47139493777220365,0.13522168500179488,0.737895675359079,200,strong,auto
OBI_total,weighted_mean,0.1473255499278452,0.13811923210788124,0.029855287035407328,0.31979234919087807,200,strong,auto
OBI_total,p95,0.21924673738516948,0.22446686675547112,0.05934056497097426,0.3775411881853989,200,strong,auto
OBI_total,p99,0.26623393606892554,0.27087318982703606,0.09071235486775944,0.43402580704139326,200,strong,auto
T4_free_ratio_change,weighted_mean,0.08839550221422655,0.03396337872496112,0.0019190649367281708,0.23154301446441475,200,strong,auto
T4_free_ratio_change,p95,0.1600937955341708,0.06879792481341378,0.00426868403090839,0.45574769007609744,200,strong,auto
T4_free_ratio_change,p99,0.2379871042963638,0.10295514032211575,0.008120304428585474,0.7727775856044187,200,strong,auto
