ligand_id,DTXSID,preferred_name,holdout_target,true_pKd,pred_pKd
005_DTXSID40190398,DTXSID40190398,Perfluorobutanesulfonic anhydride,URAT1,8.228025072342726,6.572218911997859
117_DTXSID70464615,DTXSID70464615,"4-(1H,1H,2H,2H-Perfluorodecylthio)phenol",URAT1,4.867719374417667,6.405852390617923
226_DTXSID5067348,DTXSID5067348,2-(Perfluorooctyl)ethyl acrylate,URAT1,8.735666722050247,6.339191948671464
051_DTXSID80382073,DTXSID80382073,(Perfluorooctyl)propyl acetate,URAT1,9.236257793289608,6.319913134072581
043_DTXSID40379808,DTXSID40379808,"Perfluoro-3,7-dimethyloctanoic acid",URAT1,7.508866068590406,6.301339124687928
428_DTXSID80380039,DTXSID80380039,"Perfluoro-1,3,5-trimethylcyclohexane",URAT1,6.364557183208035,6.126940234161113
290_DTXSID90446276,DTXSID90446276,(Perfluorooctyl)propanoyl chloride,URAT1,4.757025292467556,6.010071503711278
377_DTXSID50379859,DTXSID50379859,6-(Perfluorohexyl)hexanol,URAT1,8.559402260346246,5.751652258822241
130_DTXSID90315130,DTXSID90315130,Perfluoro-1-octanesulfonyl chloride,URAT1,8.171620444597444,5.699069845395925
244_DTXSID60871632,DTXSID60871632,Perfluoro-2-butyltetrahydrofuran,URAT1,6.838356056268388,5.538854699316619
270_DTXSID80389027,DTXSID80389027,N-Methylperfluoroheptanamide,URAT1,6.334944753641763,5.529556460985761
359_DTXSID30396867,DTXSID30396867,"1H,1H,8H,8H-Perfluorooctane-1,8-diol",URAT1,6.249632754177029,5.490387145592706
247_DTXSID50369896,DTXSID50369896,"1H,1H,10H,10H-Perfluorodecane-1,10-diol",URAT1,10.230389357300163,5.490387145592706
309_DTXSID40379782,DTXSID40379782,(Perfluorocyclohexyl)methyl prop-2-enoate,URAT1,7.346702763822726,5.429187797388833
316_DTXSID50184728,DTXSID50184728,Perfluorodecanedioic acid,URAT1,1.797192451533985,5.419773713095244
419_DTXSID00369821,DTXSID00369821,Perfluorooctanedioic acid,URAT1,5.042573720428035,5.419773713095244
206_DTXSID10379774,DTXSID10379774,Perfluorononanedioic acid,URAT1,3.6254074483278735,5.419773713095244
061_DTXSID1032646,DTXSID1032646,N-Ethylperfluorooctane sulfonamide,URAT1,0.8333783749365126,5.395321720743849
199_DTXSID20870500,DTXSID20870500,"Perfluoro-1,2-dimethylcyclohexane",URAT1,7.332601606886405,5.3768370941623225
139_DTXSID20382618,DTXSID20382618,"2-Iodo-1h,1h,2h,3h,3h-perfluorodecan-1-ol",URAT1,8.890779448349765,5.28316636388683
055_DTXSID60188833,DTXSID60188833,Perfluoro-1-decene,URAT1,1.5588828993101769,5.2664250085414865
202_DTXSID00188998,DTXSID00188998,Perfluorohept-1-ene,URAT1,5.583353088935907,5.2664250085414865
312_DTXSID40204489,DTXSID40204489,Perfluorooct-1-ene,URAT1,6.327189117326788,5.2664250085414865
246_DTXSID0036926,DTXSID0036926,"Perfluoro-1,3-dimethylcyclohexane",URAT1,7.374905077695365,5.261507069004918
045_DTXSID00379925,DTXSID00379925,Perfluorononanoyl chloride,URAT1,3.219294128561858,5.24473693110707
332_DTXSID80382154,DTXSID80382154,Perfluoroheptanoyl chloride,URAT1,5.651038642230244,5.24473693110707
100_DTXSID40187142,DTXSID40187142,Pentadecafluorooctanoyl chloride,URAT1,5.9083847563180845,5.24473693110707
201_DTXSID00880187,DTXSID00880187,"3,5,7,8-Tetrachloroperfluorooctanoic acid",URAT1,7.628725902549125,5.21276607637548
060_DTXSID5063235,DTXSID5063235,(Perfluoroheptyl)methyl methacrylate,URAT1,5.350683999486628,5.204812812009105
112_DTXSID60197405,DTXSID60197405,(Perfluorohexyl)methyl methacrylate,URAT1,7.600523588676484,5.204812812009105
